Exp,GazeP,Impf,DisType,Para,mean,HDI_low,HDI_high
S12,Eye,Ope,Bernoulli(Choice),Type,-0.05968860511488473,-2.3223306930256338,2.384597726994847
S12,Eye,Ope,Beta(Weight),Type,-0.49307856230713293,-0.5942054521022583,-0.38628357767520516
S12,Eye,Con,Bernoulli(Choice),Type,1.7440693206293283,-0.6714810246691081,4.424286837332299
S12,Eye,Con,Beta(Weight),Type,-0.7602924381121081,-0.8591860256641936,-0.6581404449014957
S12,Nose,Agr,Bernoulli(Choice),Type,-0.6639814774759503,-1.5684040810384057,0.24269712850302552
S12,Nose,Agr,Beta(Weight),Type,-0.7141248501402111,-0.8157189285947911,-0.6113887727480041
S12,Nose,Neu,Bernoulli(Choice),Type,0.36272329146441523,-0.315507250563837,1.1583781782701852
S12,Nose,Neu,Beta(Weight),Type,-0.46536713406050967,-0.5765078147572673,-0.3574934221012921
S12,Nose,Ext,Bernoulli(Choice),Type,-0.4689160936065554,-1.2204810772607084,0.2884836783721105
S12,Nose,Ext,Beta(Weight),Type,-0.5592152398066159,-0.6620934956697694,-0.44855029756304565
S12,Nose,Ope,Bernoulli(Choice),Type,-0.846654038874467,-1.6909646953607846,-0.09405972604389594
S12,Nose,Ope,Beta(Weight),Type,-0.5757998176602241,-0.6818229581077088,-0.4695750565151206
S12,Nose,Con,Bernoulli(Choice),Type,0.2898808103611102,-0.3517631430818765,0.9273573061619961
S12,Nose,Con,Beta(Weight),Type,-0.4923074449718654,-0.6097250409076794,-0.39066643630833037
S12,Mouth,Agr,Bernoulli(Choice),Type,0.8407025065130251,0.4523146573767229,1.2319739823158824
S12,Mouth,Agr,Beta(Weight),Type,-0.2590269421333199,-0.47946011633174695,-0.04598960751927431
S12,Mouth,Neu,Bernoulli(Choice),Type,0.5704335203401619,0.181645489024955,0.9649746650161763
S12,Mouth,Neu,Beta(Weight),Type,-0.3842983362165086,-0.58165518859310394,-0.17835579130739299
S12,Mouth,Ext,Bernoulli(Choice),Type,0.3092933531012676,-0.052443618370340894,0.6444308730185588
S12,Mouth,Ext,Beta(Weight),Type,-0.13153158049904298,-0.3368355123562675,0.05606595719999863
S12,Mouth,Ope,Bernoulli(Choice),Type,0.7356805690825138,0.3699294296511697,1.1177903155073339
S12,Mouth,Ope,Beta(Weight),Type,-0.2858984616901695,-0.4735169342951846,-0.08648697132093452
