Exp,AOI,Imp,Zero_Prop,Model,CRPS,RMSE,MAE
S8,GazeEY,Ope,0.011627906976744186,Freq_HB,0.0028250590068879676,0.00548168029566392,0.004108765256403691
S8,GazeEY,Con,0.02435897435897436,Bayes_HB,0.0027465836447952627,0.0053517772387625525,0.003983730145090717
S8,GazeEY,Con,0.02435897435897436,Bayes_Beta,0.0028068502469910635,0.005388504900239689,0.0041905682419203245
S8,GazeEY,Con,0.02435897435897436,Logit_LMM,0.0029085892159852003,0.00554814646709118,0.004374574423287936
S8,GazeEY,Con,0.02435897435897436,Freq_HB,0.003465644046484025,0.006656790994485672,0.005019545017748754
S8,GazeNO,Agr,0.04015544041450777,Bayes_HB,0.0011659995441953433,0.0024240722203002544,0.0017183576070521518
S8,GazeNO,Agr,0.04015544041450777,Bayes_Beta,0.0012618296168081023,0.002498682580027873,0.001956127173419359
S8,GazeNO,Agr,0.04015544041450777,Logit_LMM,0.0013669485774717898,0.00260632684857868,0.0020786256537447152
S8,GazeNO,Agr,0.04015544041450777,Freq_HB,0.0014559882170505991,0.0029251832109481145,0.0021072543663976906
S8,GazeNO,Neu,0.08678756476683938,Bayes_HB,0.001059180396431581,0.0022150858450979416,0.0016063683893283334
S8,GazeNO,Neu,0.08678756476683938,Bayes_Beta,0.0011943523776565437,0.0023304300786275017,0.0018657540510158119
S8,GazeNO,Neu,0.08678756476683938,Logit_LMM,0.0013091343377060177,0.0024192976228737655,0.0019779165100256815
S8,GazeNO,Neu,0.08678756476683938,Freq_HB,0.0012788592833775385,0.002653928313641554,0.0019020700991126123
S8,GazeNO,Ext,0.08312020460358056,Bayes_HB,0.0010798901149211713,0.002189093590369582,0.0016281582798366872
S8,GazeNO,Ext,0.08312020460358056,Bayes_Beta,0.001195190728530686,0.002287847657413533,0.0018809766143053103
S8,GazeNO,Ext,0.08312020460358056,Logit_LMM,0.0013207547667814015,0.0024087235275241847,0.0020099022511794185
S8,GazeNO,Ext,0.08312020460358056,Freq_HB,0.001358653554048305,0.0026946577941834443,0.0020261877831117283
S8,GazeNO,Ope,0.07622739018087855,Bayes_HB,0.00102896633584358,0.0020615136575213213,0.0015181653994804927
S8,GazeNO,Ope,0.07622739018087855,Bayes_Beta,0.001132580005196754,0.0021797038772443686,0.0017578946537880002
S8,GazeNO,Ope,0.07622739018087855,Logit_LMM,0.0012673203476694854,0.0023310708157938927,0.001911004170886906
S8,GazeNO,Ope,0.07622739018087855,Freq_HB,0.0013991696532951615,0.002806967620280124,0.002033556976465046
S8,GazeNO,Con,0.08974358974358974,Bayes_HB,0.0010122837476083987,0.0021152539098719704,0.0015338110557219695
S8,GazeNO,Con,0.08974358974358974,Bayes_Beta,0.0011550271739379071,0.0022534299893040045,0.001821228784013772
S8,GazeNO,Con,0.08974358974358974,Logit_LMM,0.001278816017015797,0.002359576759238936,0.0019437528659876804
S8,GazeNO,Con,0.08974358974358974,Freq_HB,0.001250343463374099,0.002600685890105672,0.0018359064086271957
S8,GazeMO,Agr,0.7603626943005182,Bayes_HB,2.5649341248221163e-4,9.055317507090329e-4,4.783729273869136e-4
S8,GazeMO,Agr,0.7603626943005182,Bayes_Beta,6.980413892061845e-4,0.0012693872692843599,0.0011432238220147068
S8,GazeMO,Agr,0.7603626943005182,Logit_LMM,9.606865996696252e-4,0.0013219936429799421,0.0012139715569699915
S8,GazeMO,Agr,0.7603626943005182,Freq_HB,3.055461655476316e-4,0.0010086567014042293,5.569731563088341e-4
S8,GazeMO,Neu,0.7875647668393783,Bayes_HB,2.3414204182067188e-4,9.659588496777234e-4,4.2844921509313223e-4
S8,GazeMO,Neu,0.7875647668393783,Bayes_Beta,6.962912939424926e-4,0.0013347391918432099,0.001146512661848621
