participant,expName,picname,key_resp_2.keys,key_resp_confi.keys,age,gender,Ext,Agr,Con,Neu,Ope,Valp,GazeGL,GazeFH,GazeEB,GazeEY,GazeNO,GazeMO,MouseGL,MouseFH,MouseEB,MouseEY,MouseNO,MouseMO
Subj41,inferExpPartS12,AgrF1.png,3,5,20,Female,6,6,6.5,4.5,3.5,1,0.00978381649169849,0.00928109011040666,0.00920055435277663,0.01118854387126889,0.00671797486826428,0,0.00198582980342165,0.00483802373213258,0.00296010499642392,0.00142387049304966,0.00185932129598591,8.271185668724945e-5
Subj41,inferExpPartS12,AgrM2.png,6,5,20,Female,6,6,6.5,4.5,3.5,1,0.01365491133587828,0.00503502855252017,0.00728221317617347,0.0287451652198164,0.00102280983415596,0,0.00223925622304772,0.00442431550078755,0.00453605896089396,0.00370179290257169,0.00251874439260983,0
Subj41,inferExpPartS12,ExtF1.png,7,6,20,Female,6,6,6.5,4.5,3.5,0.9572446555819476,0.01960918244819038,0.00649790008377489,0.00577827421589762,0.00802354995829407,5.524307255030319e-5,0,4.090205499199301e-4,0.00265337400362072,0.00383232059084503,0.00208472108978726,0.00152397587854358,1.2807790223958568e-5
Subj41,inferExpPartS12,AgrF5.png,6,6,20,Female,6,6,6.5,4.5,3.5,1,0.00785297343111153,0.0047774725109361,0.00572441138847408,0.01614666171112857,0.00332455179341879,0,1.4251482500988292e-4,0.00291967737400278,0.00110563326020398,0.00230384887674519,0.00166993373256356,0
Subj41,inferExpPartS12,ConM2.png,5,3,20,Female,6,6,6.5,4.5,3.5,1,0.0078622772469547,0.00858807110073104,0.0187282815447234,0.01117210929168917,3.7492670847941195e-4,0,0.00205374688902632,0.00499498916806954,0.00180398592380448,0.00259067700045606,0.00141607863326732,0
Subj41,inferExpPartS12,ExtM1.png,2,6,20,Female,6,6,6.5,4.5,3.5,1,0.01991050744857415,0.00412812599900011,0.00535627466571424,0.01345709057237075,0.00462754191618698,0,2.0696361121248827e-5,0.00439423487000641,0.00169286086619485,6.109243353521475e-4,0.00248233814978824,0
Subj41,inferExpPartS12,ExtF5.png,3,6,20,Female,6,6,6.5,4.5,3.5,0.9073634204275536,0.01657301379811132,0.00588796454130958,0.00843478724886562,0.0137901946403695,2.0832191706614416e-4,0,4.108874739205769e-4,0.00686624552143505,0.0038888881924525,0.00343185346477835,0.00470429366288303,2.6586757099093097e-5
Subj41,inferExpPartS12,ExtF2.png,3,5,20,Female,6,6,6.5,4.5,3.5,1,0.02182321917881741,0.00756749605164014,0.01190524764370368,0.00349799731534112,6.843438542690635e-4,0,7.41609343781949e-7,0.00734930299964422,0.00314025187418818,0.00538136858811729,0.00305687258855508,0
Subj41,inferExpPartS12,ExtF4.png,6,5,20,Female,6,6,6.5,4.5,3.5,1,0.02375611491779799,0.00966319308975466,0.00918750337834692,0.00171953640216562,3.196609004065684e-6,0,5.708803106719013e-5,0.00599075916055973,0.00370887586166183,0.00245165573224165,0.00393518106034901,1.963983113026144e-7
Subj41,inferExpPartS12,ConM1.png,2,6,20,Female,6,6,6.5,4.5,3.5,1,0.03296514784677269,9.282309741340556e-4,0.00774029613156444,0.01651850451643494,0.00438923414660969,0,1.584896122125889e-5,0.00305708535743247,0.00295600204011619,0.00377987745311004,0.00242008882828818,9.190828967229188e-7
Subj41,inferExpPartS12,NeuM2.png,5,3,20,Female,6,6,6.5,4.5,3.5,1,0.01131695371082193,0.00668317810887023,0.00551464359845061,0.02118145444967991,0.00331092514181543,0,0.00398707550663106,0.0028951570557176,0.00172547563086245,0.00276057342713777,0.00326436958227919,0
Subj41,inferExpPartS12,AgrM4.png,3,5,20,Female,6,6,6.5,4.5,3.5,0.9597156398104264,0.00821215013351787,0.00587830165309332,0.00910896071376081,0.00340359079424234,0.00274200451866473,0,3.15511186609449e-9,0.00225494619201809,0.00289052045466519,0.00136374147006243,0.00180812069875926,5.649721179304964e-7
Subj41,inferExpPartS12,NeuM1.png,7,5,20,Female,6,6,6.5,4.5,3.5,1,0.00653497320591031,0.00321293496596341,0.00706321181824535,0.02125539211222073,0.00111908752169878,0,0.00252851395640194,0.00166952447275055,0.00296598663535275,0.00111440640925201,0.00243162978987924,2.5470480610626422e-5
Subj41,inferExpPartS12,NeuM5.png,5,3,20,Female,6,6,6.5,4.5,3.5,1,0.04008704400666356,0.00833769096825566,0.01268027221972378,0.00377759875167329,2.0046136367348751e-4,0,0.00246799142203753,0.00114140059179107,0.00329336394361766,0.00159362095568113,0.00192459250924156,3.447771586596878e-5
Subj41,inferExpPartS12,ConM5.png,7,5,20,Female,6,6,6.5,4.5,3.5,0.9502369668246444,5.985842910008608e-4,0.00861439934188694,0.00736500291274339,5.85238856860787e-6,0,0,0.00400200155764542,0.00271444613619285,0.00104085407271091,0.00283419355456292,8.745934083442059e-4,3.375709787193712e-7
Subj41,inferExpPartS12,ConF2.png,3,2,20,Female,6,6,6.5,4.5,3.5,1,0.01408637055862994,0.00499047012343847,0.00588223148320354,0.01122237824502419,1.3510048481971402e-5,0,0.00263755479720495,0.00630468876270283,0.00289114497237296,0.00242346453799411,0.00616327971388799,0
Subj41,inferExpPartS12,NeuF5.png,6,5,20,Female,6,6,6.5,4.5,3.5,0.9549763033175356,0.04296525872135719,0.00826426797345374,0.00757139482605338,0.00116975480779783,0,0,0.0153009807803939,0.00789449379410013,0.00156128811220439,0.00327347775119676,0.001603797614698,0
Subj41,inferExpPartS12,NeuF2.png,2,6,20,Female,6,6,6.5,4.5,3.5,1,0.02953013360465157,0.00668739317491321,0.02455953796838753,0.00122416679734136,1.952426895529101e-4,0,0.00994435353019629,0.00599817696734231,0.00338444006246713,0.00411212862635728,0.00347877770209431,0
Subj41,inferExpPartS12,NeuF4.png,4,2,20,Female,6,6,6.5,4.5,3.5,0.9572446555819476,0.01067012993586858,0.00928909913621111,0.00875748975308122,1.1858141093002456e-6,0,0,0.00353885200736442,0.00274311748213545,0.00538070082579973,0.01022091408118019,0.0019918579080641,0
Subj41,inferExpPartS12,NeuF1.png,2,5,20,Female,6,6,6.5,4.5,3.5,1,0.01698847368752326,0.00614964318186947,0.0118670004344994,0.01036229363658465,0.00146732491242574,0,4.066416522168616e-4,0.00337457029442669,0.00168380547586396,0.00238831682908746,0.00199055330917787,3.159271029956309e-4
Subj41,inferExpPartS12,OpeM3.png,2,6,20,Female,6,6,6.5,4.5,3.5,1,0.0067992913782671,0.00550486642421362,0.00185008748589039,0.00807283072943931,0.00439929649217979,0,0.00221472449714336,0.00310091340637191,0.0027091167536638,0.00238403784665844,0.00231848579240351,1.4304253713707813e-5
Subj41,inferExpPartS12,ConF1.png,5,5,20,Female,6,6,6.5,4.5,3.5,1,0.02267051113338303,0.00760846671328211,0.01337272682537078,0.00286916594515314,0.0014214599820438,0,3.090823299228274e-8,0.00412383015653928,0.00232493145309878,0.00138433083444911,0.00182040100723017,7.459374109717773e-5
Subj41,inferExpPartS12,NeuM3.png,3,2,20,Female,6,6,6.5,4.5,3.5,0.962085308056872,0.00799450977298986,0.00648449852649477,0.00761587478300404,0.00964575996886966,0.00116871315581507,0,0.00160573041609891,0.00225023715427193,0.00382512492247042,0.00191385432494574,9.480731206927752e-4,0
Subj41,inferExpPartS12,ConF3.png,6,6,20,Female,6,6,6.5,4.5,3.5,1,0.02908807723960172,2.2126449953949393e-4,0.00325906550725979,0.00991593402972316,0.00635825671971501,0,7.298174788816645e-4,0.003215315397086,0.00250323932318713,0.00170760016088772,0.00195698489298231,1.6343724765383218e-4
